year,team,position,probability
2023,サガン鳥栖,11,0.1797
2023,サガン鳥栖,12,0.0955
2023,サガン鳥栖,13,0.0505
2023,サガン鳥栖,14,0.022
2023,サガン鳥栖,15,0.013
2023,サガン鳥栖,16,0.0042
2023,サガン鳥栖,17,0.001
2023,サガン鳥栖,18,0.0
2023,サンフレッチェ広島,1,0.0009
2023,サンフレッチェ広島,2,0.0111
2023,サンフレッチェ広島,3,0.0587
2023,サンフレッチェ広島,4,0.1357
2023,サンフレッチェ広島,5,0.1873
2023,サンフレッチェ広島,6,0.1813
2023,サンフレッチェ広島,7,0.163
2023,サンフレッチェ広島,8,0.1236
2023,サンフレッチェ広島,9,0.0842
2023,サンフレッチェ広島,10,0.0387
2023,サンフレッチェ広島,11,0.0116
2023,サンフレッチェ広島,12,0.0025
2023,サンフレッチェ広島,13,0.001
2023,サンフレッチェ広島,14,0.0004
2023,サンフレッチェ広島,15,0.0
2023,サンフレッチェ広島,16,0.0
2023,サンフレッチェ広島,17,0.0
2023,サンフレッチェ広島,18,0.0
2023,セレッソ大阪,1,0.0015
2023,セレッソ大阪,2,0.015
2023,セレッソ大阪,3,0.0575
2023,セレッソ大阪,4,0.1207
2023,セレッソ大阪,5,0.1852
2023,セレッソ大阪,6,0.1841
2023,セレッソ大阪,7,0.1641
2023,セレッソ大阪,8,0.1364
2023,セレッソ大阪,9,0.0806
2023,セレッソ大阪,10,0.0367
2023,セレッソ大阪,11,0.0121
2023,セレッソ大阪,12,0.0048
2023,セレッソ大阪,13,0.0008
2023,セレッソ大阪,14,0.0005
2023,セレッソ大阪,15,0.0
2023,セレッソ大阪,16,0.0
2023,セレッソ大阪,17,0.0
2023,セレッソ大阪,18,0.0
2023,ヴィッセル神戸,1,0.2165
2023,ヴィッセル神戸,2,0.4403
2023,ヴィッセル神戸,3,0.2151
2023,ヴィッセル神戸,4,0.0763
2023,ヴィッセル神戸,5,0.0327
2023,ヴィッセル神戸,6,0.0124
2023,ヴィッセル神戸,7,0.0046
2023,ヴィッセル神戸,8,0.0017
2023,ヴィッセル神戸,9,0.0003
2023,ヴィッセル神戸,10,0.0001
2023,ヴィッセル神戸,11,0.0
2023,ヴィッセル神戸,12,0.0
2023,ヴィッセル神戸,13,0.0
2023,ヴィッセル神戸,14,0.0
2023,ヴィッセル神戸,15,0.0
2023,ヴィッセル神戸,16,0.0
2023,ヴィッセル神戸,17,0.0
2023,ヴィッセル神戸,18,0.0
2023,京都サンガF.C.,1,0.0
2023,京都サンガF.C.,2,0.0
2023,京都サンガF.C.,3,0.0
2023,京都サンガF.C.,4,0.0
2023,京都サンガF.C.,5,0.0
2023,京都サンガF.C.,6,0.0001
2023,京都サンガF.C.,7,0.0004
2023,京都サンガF.C.,8,0.0007
2023,京都サンガF.C.,9,0.0028
2023,京都サンガF.C.,10,0.0132
2023,京都サンガF.C.,11,0.0372
2023,京都サンガF.C.,12,0.071
2023,京都サンガF.C.,13,0.1022
2023,京都サンガF.C.,14,0.1473
2023,京都サンガF.C.,15,0.1923
2023,京都サンガF.C.,16,0.2144
2023,京都サンガF.C.,17,0.1526
2023,京都サンガF.C.,18,0.0658
2023,北海道コンサドーレ札幌,1,0.0004
2023,北海道コンサドーレ札幌,2,0.0035
2023,北海道コンサドーレ札幌,3,0.0153
2023,北海道コンサドーレ札幌,4,0.0447
2023,北海道コンサドーレ札幌,5,0.087
2023,北海道コンサドーレ札幌,6,0.1213
2023,北海道コンサドーレ札幌,7,0.1512
2023,北海道コンサドーレ札幌,8,0.1781
2023,北海道コンサドーレ札幌,9,0.1843
2023,北海道コンサドーレ札幌,10,0.1263
2023,北海道コンサドーレ札幌,11,0.051
2023,北海道コンサドーレ札幌,12,0.0231
2023,北海道コンサドーレ札幌,13,0.0093
2023,北海道コンサドーレ札幌,14,0.0033
2023,北海道コンサドーレ札幌,15,0.0009
2023,北海道コンサドーレ札幌,16,0.0002
2023,北海道コンサドーレ札幌,17,0.0001
2023,北海道コンサドーレ札幌,18,0.0
2023,名古屋グランパス,1,0.0579
2023,名古屋グランパス,2,0.2176
2023,名古屋グランパス,3,0.3478
2023,名古屋グランパス,4,0.1979
2023,名古屋グランパス,5,0.0951
2023,名古屋グランパス,6,0.0453
2023,名古屋グランパス,7,0.0239
2023,名古屋グランパス,8,0.0099
2023,名古屋グランパス,9,0.0033
2023,名古屋グランパス,10,0.0011
2023,名古屋グランパス,11,0.0001
2023,名古屋グランパス,12,0.0001
2023,名古屋グランパス,13,0.0
2023,名古屋グランパス,14,0.0
2023,名古屋グランパス,15,0.0
2023,名古屋グランパス,16,0.0
2023,名古屋グランパス,17,0.0
2023,名古屋グランパス,18,0.0
2023,川崎フロンターレ,1,0.0002
2023,川崎フロンターレ,2,0.0046
2023,川崎フロンターレ,3,0.0207
2023,川崎フロンターレ,4,0.0531
2023,川崎フロンターレ,5,0.1012
2023,川崎フロンターレ,6,0.1424
2023,川崎フロンターレ,7,0.1663
2023,川崎フロンターレ,8,0.1795
2023,川崎フロンターレ,9,0.166
2023,川崎フロンターレ,10,0.0988
2023,川崎フロンターレ,11,0.0446
2023,川崎フロンターレ,12,0.0144
2023,川崎フロンターレ,13,0.0061
2023,川崎フロンターレ,14,0.0013
2023,川崎フロンターレ,15,0.0008
2023,川崎フロンターレ,16,0.0
2023,川崎フロンターレ,17,0.0
2023,川崎フロンターレ,18,0.0
2023,柏レイソル,1,0.0
2023,柏レイソル,2,0.0
2023,柏レイソル,3,0.0
2023,柏レイソル,4,0.0
2023,柏レイソル,5,0.0
2023,柏レイソル,6,0.0
2023,柏レイソル,7,0.0001
2023,柏レイソル,8,0.0
2023,柏レイソル,9,0.0005
2023,柏レイソル,10,0.0015
2023,柏レイソル,11,0.0056
2023,柏レイソル,12,0.0154
2023,柏レイソル,13,0.0312
2023,柏レイソル,14,0.0599
2023,柏レイソル,15,0.1004
2023,柏レイソル,16,0.1814
2023,柏レイソル,17,0.311
2023,柏レイソル,18,0.293
2023,横浜Ｆ・マリノス,1,0.7079
2023,横浜Ｆ・マリノス,2,0.2185
2023,横浜Ｆ・マリノス,3,0.0564
2023,横浜Ｆ・マリノス,4,0.0153
2023,横浜Ｆ・マリノス,5,0.0015
2023,横浜Ｆ・マリノス,6,0.0002
2023,横浜Ｆ・マリノス,7,0.0001
2023,横浜Ｆ・マリノス,8,0.0001
2023,横浜Ｆ・マリノス,9,0.0
2023,横浜Ｆ・マリノス,10,0.0
2023,横浜Ｆ・マリノス,11,0.0
2023,横浜Ｆ・マリノス,12,0.0
2023,横浜Ｆ・マリノス,13,0.0
2023,横浜Ｆ・マリノス,14,0.0
2023,横浜Ｆ・マリノス,15,0.0
2023,横浜Ｆ・マリノス,16,0.0
2023,横浜Ｆ・マリノス,17,0.0
2023,横浜Ｆ・マリノス,18,0.0
2023,横浜ＦＣ,1,0.0
2023,横浜ＦＣ,2,0.0
2023,横浜ＦＣ,3,0.0
2023,横浜ＦＣ,4,0.0
2023,横浜ＦＣ,5,0.0
2023,横浜ＦＣ,6,0.0
2023,横浜ＦＣ,7,0.0
2023,横浜ＦＣ,8,0.0
2023,横浜ＦＣ,9,0.0
2023,横浜ＦＣ,10,0.0003
2023,横浜ＦＣ,11,0.0016
2023,横浜ＦＣ,12,0.0046
2023,横浜ＦＣ,13,0.0109
2023,横浜ＦＣ,14,0.0235
2023,横浜ＦＣ,15,0.0503
2023,横浜ＦＣ,16,0.1152
2023,横浜ＦＣ,17,0.2561
2023,横浜ＦＣ,18,0.5375
2023,浦和レッズ,1,0.0146
2023,浦和レッズ,2,0.0842
2023,浦和レッズ,3,0.2059
2023,浦和レッズ,4,0.2836
2023,浦和レッズ,5,0.1775
2023,浦和レッズ,6,0.1071
2023,浦和レッズ,7,0.063
2023,浦和レッズ,8,0.0387
2023,浦和レッズ,9,0.018
2023,浦和レッズ,10,0.0054
2023,浦和レッズ,11,0.0014
2023,浦和レッズ,12,0.0005
2023,浦和レッズ,13,0.0
2023,浦和レッズ,14,0.0001
2023,浦和レッズ,15,0.0
2023,浦和レッズ,16,0.0
2023,浦和レッズ,17,0.0
2023,浦和レッズ,18,0.0
2023,湘南ベルマーレ,1,0.0
2023,湘南ベルマーレ,2,0.0
2023,湘南ベルマーレ,3,0.0
2023,湘南ベルマーレ,4,0.0
2023,湘南ベルマーレ,5,0.0
2023,湘南ベルマーレ,6,0.0002
2023,湘南ベルマーレ,7,0.0007
2023,湘南ベルマーレ,8,0.0013
2023,湘南ベルマーレ,9,0.0076
2023,湘南ベルマーレ,10,0.02
2023,湘南ベルマーレ,11,0.0529
2023,湘南ベルマーレ,12,0.0867
2023,湘南ベルマーレ,13,0.1302
2023,湘南ベルマーレ,14,0.1606
2023,湘南ベルマーレ,15,0.1791
2023,湘南ベルマーレ,16,0.1786
2023,湘南ベルマーレ,17,0.1233
2023,湘南ベルマーレ,18,0.0588
2023,鹿島アントラーズ,1,0.0001
2023,鹿島アントラーズ,2,0.005
2023,鹿島アントラーズ,3,0.0214
2023,鹿島アントラーズ,4,0.0675
2023,鹿島アントラーズ,5,0.1136
2023,鹿島アントラーズ,6,0.1626
2023,鹿島アントラーズ,7,0.1779
2023,鹿島アントラーズ,8,0.1728
2023,鹿島アントラーズ,9,0.1499
2023,鹿島アントラーズ,10,0.0831
2023,鹿島アントラーズ,11,0.0304
2023,鹿島アントラーズ,12,0.0109
2023,鹿島アントラーズ,13,0.0039
2023,鹿島アントラーズ,14,0.0005
2023,鹿島アントラーズ,15,0.0004
2023,鹿島アントラーズ,16,0.0
2023,鹿島アントラーズ,17,0.0
2023,鹿島アントラーズ,18,0.0
2023,ＦＣ東京,1,0.0
2023,ＦＣ東京,2,0.0
2023,ＦＣ東京,3,0.0002
2023,ＦＣ東京,4,0.0004
2023,ＦＣ東京,5,0.0019
2023,ＦＣ東京,6,0.0077
2023,ＦＣ東京,7,0.015
2023,ＦＣ東京,8,0.0325
2023,ＦＣ東京,9,0.0741
2023,ＦＣ東京,10,0.1615
2023,ＦＣ東京,11,0.2369
2023,ＦＣ東京,12,0.1774
2023,ＦＣ東京,13,0.1334
2023,ＦＣ東京,14,0.083
2023,ＦＣ東京,15,0.0453
2023,ＦＣ東京,16,0.0203
2023,ＦＣ東京,17,0.0088
2023,ＦＣ東京,18,0.0016
2024,アビスパ福岡,1,0.001
2024,アビスパ福岡,2,0.0067
2024,アビスパ福岡,3,0.0215
2024,アビスパ福岡,4,0.0345
2024,アビスパ福岡,5,0.0706
2024,アビスパ福岡,6,0.1085
2024,アビスパ福岡,7,0.1214
2024,アビスパ福岡,8,0.1321
2024,アビスパ福岡,9,0.1272
2024,アビスパ福岡,10,0.1136
2024,アビスパ福岡,11,0.0911
2024,アビスパ福岡,12,0.0742
2024,アビスパ福岡,13,0.0521
2024,アビスパ福岡,14,0.0267
2024,アビスパ福岡,15,0.0134
2024,アビスパ福岡,16,0.0047
2024,アビスパ福岡,17,0.0007
2024,アビスパ福岡,18,0.0
2024,アビスパ福岡,19,0.0
2024,アビスパ福岡,20,0.0
2024,アルビレックス新潟,1,0.0
2024,アルビレックス新潟,2,0.0
2024,アルビレックス新潟,3,0.0
2024,アルビレックス新潟,4,0.0003
2024,アルビレックス新潟,5,0.0006
2024,アルビレックス新潟,6,0.0028
2024,アルビレックス新潟,7,0.0063
2024,アルビレックス新潟,8,0.0104
2024,アルビレックス新潟,9,0.0189
2024,アルビレックス新潟,10,0.0307
2024,アルビレックス新潟,11,0.0459
2024,アルビレックス新潟,12,0.0729
2024,アルビレックス新潟,13,0.114
2024,アルビレックス新潟,14,0.171
2024,アルビレックス新潟,15,0.2096
2024,アルビレックス新潟,16,0.172
2024,アルビレックス新潟,17,0.0983
2024,アルビレックス新潟,18,0.0393
2024,アルビレックス新潟,19,0.0066
2024,アルビレックス新潟,20,0.0004
2024,ガンバ大阪,1,0.0259
2024,ガンバ大阪,2,0.1002
2024,ガンバ大阪,3,0.1628
2024,ガンバ大阪,4,0.192
2024,ガンバ大阪,5,0.1843
2024,ガンバ大阪,6,0.1279
2024,ガンバ大阪,7,0.0838
2024,ガンバ大阪,8,0.0522
2024,ガンバ大阪,9,0.0321
2024,ガンバ大阪,10,0.0208
2024,ガンバ大阪,11,0.0099
2024,ガンバ大阪,12,0.0051
2024,ガンバ大阪,13,0.0023
2024,ガンバ大阪,14,0.0005
2024,ガンバ大阪,15,0.0002
2024,ガンバ大阪,16,0.0
2024,ガンバ大阪,17,0.0
2024,ガンバ大阪,18,0.0
2024,ガンバ大阪,19,0.0
2024,ガンバ大阪,20,0.0
2024,サガン鳥栖,1,0.0
2024,サガン鳥栖,2,0.0
2024,サガン鳥栖,3,0.0
2024,サガン鳥栖,4,0.0
2024,サガン鳥栖,5,0.0
2024,サガン鳥栖,6,0.0001
2024,サガン鳥栖,7,0.0001
2024,サガン鳥栖,8,0.0005
2024,サガン鳥栖,9,0.0012
2024,サガン鳥栖,10,0.003
2024,サガン鳥栖,11,0.0057
2024,サガン鳥栖,12,0.0115
2024,サガン鳥栖,13,0.0243
2024,サガン鳥栖,14,0.0541
2024,サガン鳥栖,15,0.1039
2024,サガン鳥栖,16,0.1883
2024,サガン鳥栖,17,0.3045
2024,サガン鳥栖,18,0.2046
2024,サガン鳥栖,19,0.0819
2024,サガン鳥栖,20,0.0163
2024,サンフレッチェ広島,1,0.054
2024,サンフレッチェ広島,2,0.1675
2024,サンフレッチェ広島,3,0.2125
2024,サンフレッチェ広島,4,0.1985
2024,サンフレッチェ広島,5,0.1482
2024,サンフレッチェ広島,6,0.0924
2024,サンフレッチェ広島,7,0.0545
2024,サンフレッチェ広島,8,0.0328
2024,サンフレッチェ広島,9,0.0178
2024,サンフレッチェ広島,10,0.0115
2024,サンフレッチェ広島,11,0.0059
2024,サンフレッチェ広島,12,0.003
2024,サンフレッチェ広島,13,0.001
2024,サンフレッチェ広島,14,0.0003
2024,サンフレッチェ広島,15,0.0001
2024,サンフレッチェ広島,16,0.0
2024,サンフレッチェ広島,17,0.0
2024,サンフレッチェ広島,18,0.0
2024,サンフレッチェ広島,19,0.0
2024,サンフレッチェ広島,20,0.0
2024,ジュビロ磐田,1,0.0
2024,ジュビロ磐田,2,0.0
2024,ジュビロ磐田,3,0.0001
2024,ジュビロ磐田,4,0.0004
2024,ジュビロ磐田,5,0.0013
2024,ジュビロ磐田,6,0.0051
2024,ジュビロ磐田,7,0.0084
2024,ジュビロ磐田,8,0.0186
2024,ジュビロ磐田,9,0.025
2024,ジュビロ磐田,10,0.042
2024,ジュビロ磐田,11,0.0569
2024,ジュビロ磐田,12,0.0861
2024,ジュビロ磐田,13,0.1321
2024,ジュビロ磐田,14,0.1738
2024,ジュビロ磐田,15,0.1864
2024,ジュビロ磐田,16,0.1467
2024,ジュビロ磐田,17,0.0825
2024,ジュビロ磐田,18,0.029
2024,ジュビロ磐田,19,0.0049
2024,ジュビロ磐田,20,0.0007
2024,セレッソ大阪,1,0.001
2024,セレッソ大阪,2,0.0077
2024,セレッソ大阪,3,0.0194
2024,セレッソ大阪,4,0.0458
2024,セレッソ大阪,5,0.0722
2024,セレッソ大阪,6,0.1096
2024,セレッソ大阪,7,0.124
2024,セレッソ大阪,8,0.1197
2024,セレッソ大阪,9,0.1175
2024,セレッソ大阪,10,0.1099
2024,セレッソ大阪,11,0.0968
2024,セレッソ大阪,12,0.0736
2024,セレッソ大阪,13,0.0539
2024,セレッソ大阪,14,0.0288
2024,セレッソ大阪,15,0.0138
2024,セレッソ大阪,16,0.0045
2024,セレッソ大阪,17,0.0012
2024,セレッソ大阪,18,0.0006
2024,セレッソ大阪,19,0.0
2024,セレッソ大阪,20,0.0
2024,ヴィッセル神戸,1,0.0579
2024,ヴィッセル神戸,2,0.186
2024,ヴィッセル神戸,3,0.2169
2024,ヴィッセル神戸,4,0.1975
2024,ヴィッセル神戸,5,0.1473
2024,ヴィッセル神戸,6,0.0844
2024,ヴィッセル神戸,7,0.05
2024,ヴィッセル神戸,8,0.0277
2024,ヴィッセル神戸,9,0.0157
2024,ヴィッセル神戸,10,0.008
2024,ヴィッセル神戸,11,0.0045
2024,ヴィッセル神戸,12,0.0024
2024,ヴィッセル神戸,13,0.0014
2024,ヴィッセル神戸,14,0.0003
2024,ヴィッセル神戸,15,0.0
2024,ヴィッセル神戸,16,0.0
2024,ヴィッセル神戸,17,0.0
2024,ヴィッセル神戸,18,0.0
2024,ヴィッセル神戸,19,0.0
2024,ヴィッセル神戸,20,0.0
2024,京都サンガF.C.,1,0.0
2024,京都サンガF.C.,2,0.0
2024,京都サンガF.C.,3,0.0
2024,京都サンガF.C.,4,0.0
2024,京都サンガF.C.,5,0.0
2024,京都サンガF.C.,6,0.0
2024,京都サンガF.C.,7,0.0
2024,京都サンガF.C.,8,0.0
2024,京都サンガF.C.,9,0.0
2024,京都サンガF.C.,10,0.0
2024,京都サンガF.C.,11,0.0001
2024,京都サンガF.C.,12,0.0001
2024,京都サンガF.C.,13,0.0004
2024,京都サンガF.C.,14,0.0029
2024,京都サンガF.C.,15,0.0103
2024,京都サンガF.C.,16,0.0298
2024,京都サンガF.C.,17,0.0736
2024,京都サンガF.C.,18,0.2135
2024,京都サンガF.C.,19,0.4617
2024,京都サンガF.C.,20,0.2076
2024,北海道コンサドーレ札幌,1,0.0
2024,北海道コンサドーレ札幌,2,0.0
2024,北海道コンサドーレ札幌,3,0.0
2024,北海道コンサドーレ札幌,4,0.0
2024,北海道コンサドーレ札幌,5,0.0
2024,北海道コンサドーレ札幌,6,0.0
2024,北海道コンサドーレ札幌,7,0.0
2024,北海道コンサドーレ札幌,8,0.0
2024,北海道コンサドーレ札幌,9,0.0
2024,北海道コンサドーレ札幌,10,0.0
2024,北海道コンサドーレ札幌,11,0.0
2024,北海道コンサドーレ札幌,12,0.0
2024,北海道コンサドーレ札幌,13,0.0001
2024,北海道コンサドーレ札幌,14,0.0
2024,北海道コンサドーレ札幌,15,0.001
2024,北海道コンサドーレ札幌,16,0.0038
2024,北海道コンサドーレ札幌,17,0.015
2024,北海道コンサドーレ札幌,18,0.0651
2024,北海道コンサドーレ札幌,19,0.2098
2024,北海道コンサドーレ札幌,20,0.7052
2024,名古屋グランパス,1,0.0001
2024,名古屋グランパス,2,0.0038
2024,名古屋グランパス,3,0.0079
2024,名古屋グランパス,4,0.0222
2024,名古屋グランパス,5,0.038
2024,名古屋グランパス,6,0.0567
2024,名古屋グランパス,7,0.0869
2024,名古屋グランパス,8,0.0933
2024,名古屋グランパス,9,0.1075
2024,名古屋グランパス,10,0.1212
2024,名古屋グランパス,11,0.1262
2024,名古屋グランパス,12,0.1168
2024,名古屋グランパス,13,0.0953
2024,名古屋グランパス,14,0.0679
2024,名古屋グランパス,15,0.0355
2024,名古屋グランパス,16,0.0161
2024,名古屋グランパス,17,0.004
2024,名古屋グランパス,18,0.0006
2024,名古屋グランパス,19,0.0
2024,名古屋グランパス,20,0.0
2024,川崎フロンターレ,1,0.0
2024,川崎フロンターレ,2,0.0003
2024,川崎フロンターレ,3,0.0008
2024,川崎フロンターレ,4,0.0034
2024,川崎フロンターレ,5,0.0092
2024,川崎フロンターレ,6,0.0194
2024,川崎フロンターレ,7,0.0326
2024,川崎フロンターレ,8,0.0432
2024,川崎フロンターレ,9,0.0635
2024,川崎フロンターレ,10,0.0862
2024,川崎フロンターレ,11,0.1071
2024,川崎フロンターレ,12,0.1384
2024,川崎フロンターレ,13,0.1566
2024,川崎フロンターレ,14,0.145
2024,川崎フロンターレ,15,0.1048
2024,川崎フロンターレ,16,0.0588
2024,川崎フロンターレ,17,0.0237
2024,川崎フロンターレ,18,0.0062
2024,川崎フロンターレ,19,0.0008
2024,川崎フロンターレ,20,0.0
2024,東京ヴェルディ,1,0.0004
2024,東京ヴェルディ,2,0.0025
2024,東京ヴェルディ,3,0.0074
2024,東京ヴェルディ,4,0.0174
2024,東京ヴェルディ,5,0.0384
2024,東京ヴェルディ,6,0.0585
2024,東京ヴェルディ,7,0.0816
2024,東京ヴェルディ,8,0.0971
2024,東京ヴェルディ,9,0.11
2024,東京ヴェルディ,10,0.117
2024,東京ヴェルディ,11,0.1232
2024,東京ヴェルディ,12,0.1153
2024,東京ヴェルディ,13,0.0986
2024,東京ヴェルディ,14,0.0697
2024,東京ヴェルディ,15,0.0417
2024,東京ヴェルディ,16,0.0167
2024,東京ヴェルディ,17,0.0038
2024,東京ヴェルディ,18,0.0007
2024,東京ヴェルディ,19,0.0
2024,東京ヴェルディ,20,0.0
2024,柏レイソル,1,0.0
2024,柏レイソル,2,0.0
2024,柏レイソル,3,0.0
2024,柏レイソル,4,0.0001
2024,柏レイソル,5,0.0004
2024,柏レイソル,6,0.0003
2024,柏レイソル,7,0.0013
2024,柏レイソル,8,0.0031
2024,柏レイソル,9,0.006
2024,柏レイソル,10,0.0104
2024,柏レイソル,11,0.0201
2024,柏レイソル,12,0.0406
2024,柏レイソル,13,0.0674
2024,柏レイソル,14,0.1272
2024,柏レイソル,15,0.188
2024,柏レイソル,16,0.2467
2024,柏レイソル,17,0.188
2024,柏レイソル,18,0.0803
2024,柏レイソル,19,0.0186
2024,柏レイソル,20,0.0015
2024,横浜Ｆ・マリノス,1,0.0007
2024,横浜Ｆ・マリノス,2,0.0055
2024,横浜Ｆ・マリノス,3,0.0163
2024,横浜Ｆ・マリノス,4,0.0329
2024,横浜Ｆ・マリノス,5,0.0634
2024,横浜Ｆ・マリノス,6,0.0896
2024,横浜Ｆ・マリノス,7,0.1125
2024,横浜Ｆ・マリノス,8,0.1169
2024,横浜Ｆ・マリノス,9,0.1165
2024,横浜Ｆ・マリノス,10,0.1099
2024,横浜Ｆ・マリノス,11,0.1028
2024,横浜Ｆ・マリノス,12,0.0929
2024,横浜Ｆ・マリノス,13,0.0661
2024,横浜Ｆ・マリノス,14,0.0412
2024,横浜Ｆ・マリノス,15,0.0215
2024,横浜Ｆ・マリノス,16,0.0084
2024,横浜Ｆ・マリノス,17,0.0025
2024,横浜Ｆ・マリノス,18,0.0004
2024,横浜Ｆ・マリノス,19,0.0
2024,横浜Ｆ・マリノス,20,0.0
2024,浦和レッズ,1,0.0
2024,浦和レッズ,2,0.004
2024,浦和レッズ,3,0.0119
2024,浦和レッズ,4,0.0286
2024,浦和レッズ,5,0.0504
2024,浦和レッズ,6,0.0801
2024,浦和レッズ,7,0.0977
2024,浦和レッズ,8,0.1142
2024,浦和レッズ,9,0.123
2024,浦和レッズ,10,0.1131
2024,浦和レッズ,11,0.1162
2024,浦和レッズ,12,0.0992
2024,浦和レッズ,13,0.0792
2024,浦和レッズ,14,0.0472
2024,浦和レッズ,15,0.0211
2024,浦和レッズ,16,0.0107
2024,浦和レッズ,17,0.0033
2024,浦和レッズ,18,0.0
2024,浦和レッズ,19,0.0001
2024,浦和レッズ,20,0.0
2024,湘南ベルマーレ,1,0.0
2024,湘南ベルマーレ,2,0.0
2024,湘南ベルマーレ,3,0.0
2024,湘南ベルマーレ,4,0.0
2024,湘南ベルマーレ,5,0.0
2024,湘南ベルマーレ,6,0.0
2024,湘南ベルマーレ,7,0.0
2024,湘南ベルマーレ,8,0.0
2024,湘南ベルマーレ,9,0.0001
2024,湘南ベルマーレ,10,0.0004
2024,湘南ベルマーレ,11,0.001
2024,湘南ベルマーレ,12,0.0025
2024,湘南ベルマーレ,13,0.0073
2024,湘南ベルマーレ,14,0.0192
2024,湘南ベルマーレ,15,0.0386
2024,湘南ベルマーレ,16,0.0893
2024,湘南ベルマーレ,17,0.1981
2024,湘南ベルマーレ,18,0.3596
2024,湘南ベルマーレ,19,0.2156
2024,湘南ベルマーレ,20,0.0683
2024,鹿島アントラーズ,1,0.1574
2024,鹿島アントラーズ,2,0.3234
2024,鹿島アントラーズ,3,0.2174
2024,鹿島アントラーズ,4,0.144
2024,鹿島アントラーズ,5,0.0776
2024,鹿島アントラーズ,6,0.0412
2024,鹿島アントラーズ,7,0.0193
2024,鹿島アントラーズ,8,0.0113
2024,鹿島アントラーズ,9,0.0045
2024,鹿島アントラーズ,10,0.0019
2024,鹿島アントラーズ,11,0.0014
2024,鹿島アントラーズ,12,0.0006
2024,鹿島アントラーズ,13,0.0
2024,鹿島アントラーズ,14,0.0
2024,鹿島アントラーズ,15,0.0
2024,鹿島アントラーズ,16,0.0
2024,鹿島アントラーズ,17,0.0
2024,鹿島アントラーズ,18,0.0
2024,鹿島アントラーズ,19,0.0
2024,鹿島アントラーズ,20,0.0
2024,ＦＣ東京,1,0.0029
2024,ＦＣ東京,2,0.011
2024,ＦＣ東京,3,0.0295
2024,ＦＣ東京,4,0.0557
2024,ＦＣ東京,5,0.0873
2024,ＦＣ東京,6,0.1187
2024,ＦＣ東京,7,0.1186
2024,ＦＣ東京,8,0.1261
2024,ＦＣ東京,9,0.1132
2024,ＦＣ東京,10,0.1004
2024,ＦＣ東京,11,0.0852
2024,ＦＣ東京,12,0.0648
2024,ＦＣ東京,13,0.0479
2024,ＦＣ東京,14,0.0242
2024,ＦＣ東京,15,0.0101
2024,ＦＣ東京,16,0.0035
2024,ＦＣ東京,17,0.0008
2024,ＦＣ東京,18,0.0001
2024,ＦＣ東京,19,0.0
2024,ＦＣ東京,20,0.0
2024,ＦＣ町田ゼルビア,1,0.6987
2024,ＦＣ町田ゼルビア,2,0.1814
2024,ＦＣ町田ゼルビア,3,0.0756
