round,date,home,away
131,,ガイナーレ鳥取,福島ユナイテッドＦＣ
132,,鹿児島ユナイテッドＦＣ,ＡＣ長野パルセイロ
133,,カマタマーレ讃岐,愛媛ＦＣ
134,,愛媛ＦＣ,カマタマーレ讃岐
135,,ガイナーレ鳥取,ＦＣ岐阜
136,,ＦＣ岐阜,ザスパ群馬
137,,ザスパ群馬,ＦＣ大阪
138,,ＦＣ岐阜,ツエーゲン金沢
139,,栃木ＳＣ,ガイナーレ鳥取
140,,鹿児島ユナイテッドＦＣ,栃木ＳＣ
141,,ＦＣ琉球,ザスパ群馬
142,,奈良クラブ,ＦＣ琉球
143,,鹿児島ユナイテッドＦＣ,ロアッソ熊本
144,,奈良クラブ,ＦＣ岐阜
145,,ＦＣ琉球,レノファ山口ＦＣ
146,,ロアッソ熊本,レノファ山口ＦＣ
147,,レイラック滋賀ＦＣ,ザスパ群馬
148,,ロアッソ熊本,ＡＣ長野パルセイロ
149,,ＦＣ岐阜,ＦＣ琉球
150,,ザスパ群馬,ロアッソ熊本
151,,福島ユナイテッドＦＣ,ＦＣ琉球
152,,ガイナーレ鳥取,栃木ＳＣ
153,,福島ユナイテッドＦＣ,レノファ山口ＦＣ
154,,ＦＣ岐阜,奈良クラブ
155,,ＳＣ相模原,栃木ＳＣ
156,,ギラヴァンツ北九州,ロアッソ熊本
157,,レノファ山口ＦＣ,ザスパ群馬
158,,ＦＣ琉球,ＦＣ大阪
159,,ガイナーレ鳥取,ツエーゲン金沢
160,,レノファ山口ＦＣ,愛媛ＦＣ
161,,ロアッソ熊本,栃木ＳＣ
162,,カマタマーレ讃岐,奈良クラブ
163,,愛媛ＦＣ,レノファ山口ＦＣ
164,,福島ユナイテッドＦＣ,奈良クラブ
165,,ＦＣ大阪,ＦＣ琉球
166,,ザスパ群馬,鹿児島ユナイテッドＦＣ
167,,ＡＣ長野パルセイロ,鹿児島ユナイテッドＦＣ
168,,栃木ＳＣ,松本山雅ＦＣ
169,,ツエーゲン金沢,ガイナーレ鳥取
170,,レイラック滋賀ＦＣ,ＦＣ大阪
171,,ＦＣ岐阜,松本山雅ＦＣ
172,,ロアッソ熊本,松本山雅ＦＣ
173,,ロアッソ熊本,奈良クラブ
174,,福島ユナイテッドＦＣ,レイラック滋賀ＦＣ
175,,ＦＣ岐阜,ガイナーレ鳥取
176,,ザスパ群馬,ツエーゲン金沢
177,,栃木ＳＣ,ＳＣ相模原
178,,ロアッソ熊本,ＦＣ琉球
179,,レノファ山口ＦＣ,奈良クラブ
180,,ギラヴァンツ北九州,高知ユナイテッドSC
181,,奈良クラブ,ザスパ群馬
182,,ガイナーレ鳥取,カマタマーレ讃岐
183,,ＦＣ琉球,ＦＣ岐阜
184,,奈良クラブ,カマタマーレ讃岐
185,,ザスパ群馬,ＦＣ岐阜
186,,福島ユナイテッドＦＣ,愛媛ＦＣ
187,,ＳＣ相模原,ＡＣ長野パルセイロ
188,,カマタマーレ讃岐,ＦＣ岐阜
189,,奈良クラブ,愛媛ＦＣ
190,,愛媛ＦＣ,ツエーゲン金沢
191,,ＦＣ大阪,レノファ山口ＦＣ
192,,ロアッソ熊本,鹿児島ユナイテッドＦＣ
193,,ザスパ群馬,ＳＣ相模原
194,,ギラヴァンツ北九州,ＦＣ岐阜
195,,ＡＣ長野パルセイロ,ガイナーレ鳥取
196,,ツエーゲン金沢,ロアッソ熊本
197,,福島ユナイテッドＦＣ,ＦＣ岐阜
198,,ガイナーレ鳥取,ＳＣ相模原
199,,高知ユナイテッドSC,ザスパ群馬
200,,ＳＣ相模原,ツエーゲン金沢
201,,ＡＣ長野パルセイロ,ギラヴァンツ北九州
202,,カマタマーレ讃岐,高知ユナイテッドSC
203,,奈良クラブ,ガイナーレ鳥取
204,,高知ユナイテッドSC,レイラック滋賀ＦＣ
205,,栃木ＳＣ,ＦＣ琉球
206,,ザスパ群馬,松本山雅ＦＣ
207,,ツエーゲン金沢,カマタマーレ讃岐
208,,栃木ＳＣ,ザスパ群馬
209,,松本山雅ＦＣ,ロアッソ熊本
210,,ＡＣ長野パルセイロ,ＦＣ岐阜
211,,レイラック滋賀ＦＣ,ＡＣ長野パルセイロ
212,,鹿児島ユナイテッドＦＣ,レノファ山口ＦＣ
213,,ロアッソ熊本,福島ユナイテッドＦＣ
214,,松本山雅ＦＣ,ツエーゲン金沢
215,,カマタマーレ讃岐,ザスパ群馬
216,,ＦＣ琉球,ロアッソ熊本
217,,鹿児島ユナイテッドＦＣ,愛媛ＦＣ
218,,ツエーゲン金沢,福島ユナイテッドＦＣ
219,,福島ユナイテッドＦＣ,ガイナーレ鳥取
220,,松本山雅ＦＣ,ＳＣ相模原
221,,福島ユナイテッドＦＣ,高知ユナイテッドSC
222,,ザスパ群馬,愛媛ＦＣ
223,,ギラヴァンツ北九州,ツエーゲン金沢
224,,レノファ山口ＦＣ,ツエーゲン金沢
225,,カマタマーレ讃岐,福島ユナイテッドＦＣ
226,,高知ユナイテッドSC,鹿児島ユナイテッドＦＣ
227,,松本山雅ＦＣ,レノファ山口ＦＣ
228,,ＦＣ琉球,愛媛ＦＣ
229,,ＡＣ長野パルセイロ,レノファ山口ＦＣ
230,,ＳＣ相模原,奈良クラブ
231,,愛媛ＦＣ,松本山雅ＦＣ
232,,レイラック滋賀ＦＣ,ツエーゲン金沢
233,,ＦＣ岐阜,ギラヴァンツ北九州
234,,ザスパ群馬,奈良クラブ
235,,ＦＣ大阪,ＦＣ岐阜
236,,カマタマーレ讃岐,ＡＣ長野パルセイロ
237,,高知ユナイテッドSC,ＦＣ大阪
238,,高知ユナイテッドSC,奈良クラブ
239,,ＳＣ相模原,レノファ山口ＦＣ
240,,ＦＣ岐阜,愛媛ＦＣ
241,,ＦＣ大阪,カマタマーレ讃岐
242,,愛媛ＦＣ,栃木ＳＣ
243,,鹿児島ユナイテッドＦＣ,松本山雅ＦＣ
244,,カマタマーレ讃岐,鹿児島ユナイテッドＦＣ
245,,鹿児島ユナイテッドＦＣ,高知ユナイテッドSC
246,,ＦＣ岐阜,ロアッソ熊本
247,,栃木ＳＣ,ロアッソ熊本
248,,レイラック滋賀ＦＣ,福島ユナイテッドＦＣ
249,,レイラック滋賀ＦＣ,高知ユナイテッドSC
250,,栃木ＳＣ,福島ユナイテッドＦＣ
251,,松本山雅ＦＣ,福島ユナイテッドＦＣ
252,,カマタマーレ讃岐,ロアッソ熊本
253,,高知ユナイテッドSC,ツエーゲン金沢
254,,ギラヴァンツ北九州,レノファ山口ＦＣ
255,,レイラック滋賀ＦＣ,愛媛ＦＣ
256,,ＳＣ相模原,ＦＣ大阪
257,,松本山雅ＦＣ,レイラック滋賀ＦＣ
258,,レイラック滋賀ＦＣ,奈良クラブ
259,,奈良クラブ,ＡＣ長野パルセイロ
260,,ＦＣ岐阜,福島ユナイテッドＦＣ
261,,ツエーゲン金沢,ＦＣ大阪
262,,高知ユナイテッドSC,ＡＣ長野パルセイロ
263,,ロアッソ熊本,ガイナーレ鳥取
264,,ＳＣ相模原,ザスパ群馬
265,,ガイナーレ鳥取,高知ユナイテッドSC
266,,鹿児島ユナイテッドＦＣ,ツエーゲン金沢
267,,ＳＣ相模原,ギラヴァンツ北九州
268,,愛媛ＦＣ,ギラヴァンツ北九州
269,,レノファ山口ＦＣ,レイラック滋賀ＦＣ
270,,松本山雅ＦＣ,奈良クラブ
271,,ザスパ群馬,ギラヴァンツ北九州
272,,愛媛ＦＣ,ロアッソ熊本
273,,ロアッソ熊本,ＦＣ岐阜
274,,レノファ山口ＦＣ,高知ユナイテッドSC
275,,高知ユナイテッドSC,ロアッソ熊本
276,,ギラヴァンツ北九州,ＦＣ大阪
277,,ロアッソ熊本,ＦＣ大阪
278,,鹿児島ユナイテッドＦＣ,ＦＣ琉球
279,,カマタマーレ讃岐,ＳＣ相模原
280,,ロアッソ熊本,ＳＣ相模原
281,,ＡＣ長野パルセイロ,ザスパ群馬
282,,愛媛ＦＣ,鹿児島ユナイテッドＦＣ
283,,福島ユナイテッドＦＣ,カマタマーレ讃岐
284,,松本山雅ＦＣ,ガイナーレ鳥取
285,,ＳＣ相模原,高知ユナイテッドSC
286,,栃木ＳＣ,レイラック滋賀ＦＣ
287,,ガイナーレ鳥取,ＡＣ長野パルセイロ
288,,ツエーゲン金沢,ＡＣ長野パルセイロ
289,,ＦＣ大阪,愛媛ＦＣ
290,,ＦＣ琉球,ツエーゲン金沢
291,,ツエーゲン金沢,愛媛ＦＣ
292,,鹿児島ユナイテッドＦＣ,ＦＣ岐阜
293,,ＦＣ大阪,高知ユナイテッドSC
294,,鹿児島ユナイテッドＦＣ,ＳＣ相模原
295,,栃木ＳＣ,ギラヴァンツ北九州
296,,ＦＣ大阪,ツエーゲン金沢
297,,カマタマーレ讃岐,ギラヴァンツ北九州
298,,ギラヴァンツ北九州,愛媛ＦＣ
299,,ロアッソ熊本,レイラック滋賀ＦＣ
300,,愛媛ＦＣ,奈良クラブ
301,,愛媛ＦＣ,ザスパ群馬
302,,松本山雅ＦＣ,愛媛ＦＣ
303,,ガイナーレ鳥取,ロアッソ熊本
304,,ロアッソ熊本,愛媛ＦＣ
305,,ギラヴァンツ北九州,福島ユナイテッドＦＣ
306,,ＦＣ琉球,ギラヴァンツ北九州
307,,福島ユナイテッドＦＣ,ＳＣ相模原
308,,レイラック滋賀ＦＣ,カマタマーレ讃岐
309,,ギラヴァンツ北九州,カマタマーレ讃岐
310,,ＦＣ琉球,福島ユナイテッドＦＣ
311,,ＡＣ長野パルセイロ,ＳＣ相模原
312,,ＳＣ相模原,ロアッソ熊本
313,,高知ユナイテッドSC,栃木ＳＣ
314,,栃木ＳＣ,ＦＣ大阪
315,,レイラック滋賀ＦＣ,ロアッソ熊本
316,,ＦＣ岐阜,レイラック滋賀ＦＣ
317,,ザスパ群馬,ガイナーレ鳥取
318,,愛媛ＦＣ,ＳＣ相模原
319,,カマタマーレ讃岐,レノファ山口ＦＣ
320,,奈良クラブ,ＦＣ大阪
321,,ＦＣ大阪,鹿児島ユナイテッドＦＣ
322,,松本山雅ＦＣ,ＦＣ大阪
323,,レノファ山口ＦＣ,ロアッソ熊本
324,,福島ユナイテッドＦＣ,ロアッソ熊本
325,,鹿児島ユナイテッドＦＣ,カマタマーレ讃岐
326,,レイラック滋賀ＦＣ,ＳＣ相模原
327,,ガイナーレ鳥取,レノファ山口ＦＣ
328,,ＦＣ大阪,奈良クラブ
329,,ＳＣ相模原,ＦＣ琉球
330,,レイラック滋賀ＦＣ,松本山雅ＦＣ
331,,松本山雅ＦＣ,鹿児島ユナイテッドＦＣ
332,,高知ユナイテッドSC,ガイナーレ鳥取
333,,レノファ山口ＦＣ,福島ユナイテッドＦＣ
334,,ガイナーレ鳥取,奈良クラブ
335,,栃木ＳＣ,カマタマーレ讃岐
336,,ザスパ群馬,高知ユナイテッドSC
337,,ＡＣ長野パルセイロ,レイラック滋賀ＦＣ
338,,ツエーゲン金沢,ＦＣ琉球
339,,福島ユナイテッドＦＣ,ＡＣ長野パルセイロ
340,,高知ユナイテッドSC,カマタマーレ讃岐
341,,ＦＣ琉球,ガイナーレ鳥取
342,,ＦＣ琉球,松本山雅ＦＣ
343,,ＦＣ大阪,福島ユナイテッドＦＣ
344,,ＦＣ大阪,ＳＣ相模原
345,,ＦＣ岐阜,ＳＣ相模原
346,,高知ユナイテッドSC,ＦＣ岐阜
347,,ＡＣ長野パルセイロ,ＦＣ琉球
348,,愛媛ＦＣ,ＦＣ岐阜
349,,ＡＣ長野パルセイロ,栃木ＳＣ
350,,ＦＣ大阪,ザスパ群馬
351,,ＦＣ大阪,松本山雅ＦＣ
352,,ギラヴァンツ北九州,ＦＣ琉球
353,,ギラヴァンツ北九州,松本山雅ＦＣ
354,,ＳＣ相模原,ガイナーレ鳥取
355,,ガイナーレ鳥取,鹿児島ユナイテッドＦＣ
356,,愛媛ＦＣ,ガイナーレ鳥取
357,,栃木ＳＣ,高知ユナイテッドSC
358,,奈良クラブ,ギラヴァンツ北九州
359,,レイラック滋賀ＦＣ,ＦＣ岐阜
360,,ザスパ群馬,福島ユナイテッドＦＣ
361,,レイラック滋賀ＦＣ,ギラヴァンツ北九州
362,,ギラヴァンツ北九州,ＳＣ相模原
363,,ガイナーレ鳥取,ザスパ群馬
364,,奈良クラブ,栃木ＳＣ
365,,ツエーゲン金沢,高知ユナイテッドSC
366,,福島ユナイテッドＦＣ,栃木ＳＣ
367,,ＡＣ長野パルセイロ,愛媛ＦＣ
368,,高知ユナイテッドSC,レノファ山口ＦＣ
369,,奈良クラブ,レノファ山口ＦＣ
370,,ザスパ群馬,レイラック滋賀ＦＣ
371,,ロアッソ熊本,高知ユナイテッドSC
372,,福島ユナイテッドＦＣ,ツエーゲン金沢
373,,ＡＣ長野パルセイロ,カマタマーレ讃岐
374,,鹿児島ユナイテッドＦＣ,ガイナーレ鳥取
375,,ＦＣ岐阜,高知ユナイテッドSC
376,,カマタマーレ讃岐,ＦＣ大阪
377,,レノファ山口ＦＣ,ＡＣ長野パルセイロ
378,,奈良クラブ,福島ユナイテッドＦＣ
379,,ギラヴァンツ北九州,ＡＣ長野パルセイロ
380,,レノファ山口ＦＣ,ＦＣ琉球
